"CityServiceValcon, LLC (CSV)",,,,,,,,,,
Detail Postings for Period 10 Ending 10/31/2025,,,,,,,,,,
,,,,,,,,,,
Account Number/Description,,,,,,,,,,
Period,Date,Comments,Journal,Source,Batch,Beginning Balance,Debit,Credit,Net Change,Ending Balance
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-159980,S/O,78412,,"39,231.14",0.00,"25,152,804.48",
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-159982,S/O,78417,,"22,363.26",0.00,"25,175,167.74",
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-159983,S/O,78421,,"11,700.90",0.00,"25,186,868.64",
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-160002,S/O,78418,,"12,975.96",0.00,"25,199,844.60",
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-160083,S/O,78475,,0.00,93.92,"25,199,750.68",
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-160135,S/O,78500,,0.00,859.88,"25,198,890.80",
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-160279,S/O,78560,,"1,805.08",0.00,"25,200,695.88",
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-160289,S/O,78563,,0.00,26.50,"25,200,669.38",
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-160483,S/O,78648,,"1,796.97",0.00,"25,202,466.35",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078523,A/R,86285,,0.00,"268,183.72","24,934,282.63",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078524,A/R,86286,,"326,352.80",0.00,"25,260,635.43",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078545,A/R,86312,,"20,439.43",0.00,"25,281,074.86",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078547,A/R,86317,,0.00,"20,439.43","25,260,635.43",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078548,A/R,86319,,"20,439.43",0.00,"25,281,074.86",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078549,A/R,86320,,391.98,0.00,"25,281,466.84",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078557,A/R,86326,,0.00,"236,905.70","25,044,561.14",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078558,A/R,86327,,0.00,"187,703.26","24,856,857.88",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078559,A/R,86328,,0.00,"139,420.12","24,717,437.76",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078560,A/R,86329,,0.00,"42,744.94","24,674,692.82",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078561,A/R,86330,,0.00,"2,349.55","24,672,343.27",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078562,A/R,86331,,0.00,"5,528.59","24,666,814.68",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078563,A/R,86332,,0.00,"4,537.29","24,662,277.39",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078564,A/R,86333,,0.00,"1,027,343.67","23,634,933.72",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078578,A/R,86341,,0.00,"2,544.48","23,632,389.24",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078581,A/R,86345,,0.00,"31,686.34","23,600,702.90",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078583,A/R,86351,,0.00,460.91,"23,600,241.99",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078586,A/R,86354,,653.91,0.00,"23,600,895.90",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078587,A/R,86355,,"1,062.81",0.00,"23,601,958.71",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078589,A/R,86313,,0.00,99.00,"23,601,859.71",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078590,A/R,86337,,0.00,"5,218.65","23,596,641.06",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078591,A/R,86314,,0.00,"2,171.57","23,594,469.49",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078592,A/R,86323,,0.00,"1,628.89","23,592,840.60",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078593,A/R,86324,,0.00,450.00,"23,592,390.60",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078594,A/R,86334,,0.00,554.18,"23,591,836.42",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078595,A/R,86336,,0.00,218.70,"23,591,617.72",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078596,A/R,86348,,0.00,75.31,"23,591,542.41",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078597,A/R,86338,,0.00,488.47,"23,591,053.94",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078598,A/R,C1002,,0.00,"1,697.46","23,589,356.48",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078599,A/R,V1002,,0.00,"14,795.38","23,574,561.10",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078611,A/R,86382,,0.00,"28,600.91","23,545,960.19",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078613,A/R,V1002,,0.00,738.36,"23,545,221.83",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078616,A/R,86384,,0.00,"302,564.66","23,242,657.17",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078680,A/R,86453,,0.00,"3,844.43","23,238,812.74",
10,10/2/2025,A/R Cash Receipts Entry - 10/2/2025,CR-078772,A/R,86546,,99.00,0.00,"23,238,911.74",
10,10/2/2025,S/O Invoice Entry - 10/2/2025,SO-159889,S/O,78369,,30.00,0.00,"23,238,941.74",
10,10/2/2025,S/O Invoice Entry - 10/2/2025,SO-159949,S/O,78411,,439.45,0.00,"23,239,381.19",
10,10/2/2025,S/O Invoice Entry - 10/2/2025,SO-159962,S/O,78403,,"1,172.69",0.00,"23,240,553.88",
10,10/2/2025,S/O Invoice Entry - 10/2/2025,SO-159965,S/O,78398,,"21,035.26",0.00,"23,261,589.14",
10,10/2/2025,S/O Invoice Entry - 10/2/2025,SO-159966,S/O,78408,,"27,871.11",0.00,"23,289,460.25",
10,10/2/2025,S/O Invoice Entry - 10/2/2025,SO-159969,S/O,78410,,"4,537.04",0.00,"23,293,997.29",
10,10/2/2025,S/O Invoice Entry - 10/2/2025,SO-159984,S/O,78423,,"7,542.56",0.00,"23,301,539.85",
10,10/2/2025,S/O Invoice Entry - 10/2/2025,SO-159985,S/O,78424,,"6,937.13",0.00,"23,308,476.98",
10,10/2/2025,S/O Invoice Entry - 10/2/2025,SO-160009,S/O,78440,,"29,577.87",0.00,"23,338,054.85",
10,10/2/2025,S/O Invoice Entry - 10/2/2025,SO-160012,S/O,78434,,"11,182.24",0.00,"23,349,237.09",
10,10/2/2025,S/O Invoice Entry - 10/2/2025,SO-160030,S/O,78409,,"15,700.22",0.00,"23,364,937.31",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078579,A/R,86347,,"167,389.94",0.00,"23,532,327.25",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078580,A/R,86342,,0.00,"2,101,157.38","21,431,169.87",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078600,A/R,86359,,0.00,"247,696.19","21,183,473.68",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078601,A/R,86360,,0.00,"177,881.09","21,005,592.59",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078602,A/R,86361,,0.00,"141,532.90","20,864,059.69",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078603,A/R,86362,,0.00,"46,219.64","20,817,840.05",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078604,A/R,86363,,0.00,"2,053.20","20,815,786.85",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078605,A/R,86364,,0.00,"935,532.82","19,880,254.03",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078606,A/R,86369,,0.00,206.40,"19,880,047.63",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078607,A/R,86370,,0.00,"5,508.73","19,874,538.90",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078608,A/R,86378,,0.00,"50,819.80","19,823,719.10",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078612,A/R,86372,,0.00,536.58,"19,823,182.52",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078614,A/R,86385,,0.00,313.77,"19,822,868.75",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078615,A/R,86383,,0.00,"84,744.50","19,738,124.25",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078617,A/R,86386,,0.00,"28,051.23","19,710,073.02",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078618,A/R,86388,,0.00,"3,389.43","19,706,683.59",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078619,A/R,86387,,0.00,"17,420.22","19,689,263.37",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078620,A/R,86389,,0.00,1.61,"19,689,261.76",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078621,A/R,86357,,0.00,"9,890.96","19,679,370.80",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078622,A/R,86358,,0.00,358.49,"19,679,012.31",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078623,A/R,86365,,0.00,"1,286.76","19,677,725.55",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078624,A/R,86366,,0.00,337.57,"19,677,387.98",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078625,A/R,86367,,0.00,388.55,"19,676,999.43",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078626,A/R,86368,,0.00,434.00,"19,676,565.43",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078627,A/R,86371,,0.00,"1,492.32","19,675,073.11",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078628,A/R,86373,,0.00,120.00,"19,674,953.11",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078629,A/R,86375,,0.00,"1,231.50","19,673,721.61",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078630,A/R,86380,,0.00,"3,257.71","19,670,463.90",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078631,A/R,86381,,0.00,"1,883.88","19,668,580.02",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078633,A/R,C1003,,0.00,"1,101.07","19,667,478.95",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078634,A/R,V1003,,0.00,"4,588.82","19,662,890.13",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078665,A/R,86437,,161.67,0.00,"19,663,051.80",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078672,A/R,86448,,0.00,"10,817.08","19,652,234.72",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078681,A/R,86451,,0.00,"538,084.61","19,114,150.11",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078682,A/R,86454,,0.00,"5,774.18","19,108,375.93",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078724,A/R,86500,,0.00,"6,518.97","19,101,856.96",
10,10/3/2025,A/R Cash Receipts Entry - 10/3/2025,CR-078726,A/R,86501,,0.00,852.81,"19,101,004.15",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159924,S/O,78389,,"66,447.10",0.00,"19,167,451.25",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159925,S/O,78386,,"37,280.27",0.00,"19,204,731.52",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159926,S/O,78390,,"7,052.28",0.00,"19,211,783.80",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159927,S/O,78387,,"23,142.22",0.00,"19,234,926.02",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159928,S/O,REBIL,,0.00,"2,415.19","19,232,510.83",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159930,S/O,78399,,450.00,0.00,"19,232,960.83",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159932,S/O,78396,,"1,751.60",0.00,"19,234,712.43",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159933,S/O,78394,,"1,732.68",0.00,"19,236,445.11",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159934,S/O,78401,,"4,564.25",0.00,"19,241,009.36",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159938,S/O,78406,,"5,045.87",0.00,"19,246,055.23",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159939,S/O,ZZ011,,"154,453.90",0.00,"19,400,509.13",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159943,S/O,78393,,879.30,0.00,"19,401,388.43",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159944,S/O,ZZ011,,"220,267.51",0.00,"19,621,655.94",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159945,S/O,ZZ012,,"212,498.88",0.00,"19,834,154.82",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159946,S/O,78395,,"3,127.70",0.00,"19,837,282.52",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159950,S/O,ZZ012,,"94,348.16",0.00,"19,931,630.68",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159951,S/O,ZZ012,,"272,884.87",0.00,"20,204,515.55",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159953,S/O,ZZ012,,"201,233.64",0.00,"20,405,749.19",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159955,S/O,ZZ011,,"182,617.99",0.00,"20,588,367.18",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159957,S/O,ZZ012,,"250,018.59",0.00,"20,838,385.77",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159958,S/O,78391,,"2,797.76",0.00,"20,841,183.53",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159960,S/O,ZZ011,,"254,336.19",0.00,"21,095,519.72",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159970,S/O,10225,,0.00,"57,793.63","21,037,726.09",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159976,S/O,78419,,"18,295.96",0.00,"21,056,022.05",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159977,S/O,ZZ011,,"273,887.95",0.00,"21,329,910.00",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159978,S/O,ZZ011,,"282,764.49",0.00,"21,612,674.49",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-159997,S/O,78429,,"17,351.42",0.00,"21,630,025.91",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-160004,S/O,78441,,"13,810.71",0.00,"21,643,836.62",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-160024,S/O,78443,,"11,382.17",0.00,"21,655,218.79",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-160029,S/O,78432,,"13,883.92",0.00,"21,669,102.71",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-160065,S/O,78458,,717.09,0.00,"21,669,819.80",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-160095,S/O,78459,,"13,365.40",0.00,"21,683,185.20",
10,10/3/2025,S/O Invoice Entry - 10/3/2025,SO-160208,S/O,78528,,"7,506.71",0.00,"21,690,691.91",
10,10/4/2025,A/R Cash Receipts Entry - 10/4/2025,CR-078632,A/R,86390,,0.00,"1,950.00","21,688,741.91",
10,10/4/2025,A/R Cash Receipts Entry - 10/4/2025,CR-078727,A/R,86503,,0.00,"2,037.66","21,686,704.25",
10,10/4/2025,A/R Cash Receipts Entry - 10/4/2025,CR-078728,A/R,86504,,0.00,243.53,"21,686,460.72",
10,10/4/2025,S/O Invoice Entry - 10/4/2025,SO-160212,S/O,78533,,"15,477.98",0.00,"21,701,938.70",
10,10/5/2025,A/R Cash Receipts Entry - 10/5/2025,CR-078683,A/R,WFIMP,,0.00,459.51,"21,701,479.19",
10,10/5/2025,A/R Cash Receipts Entry - 10/5/2025,CR-078729,A/R,86505,,0.00,"15,651.96","21,685,827.23",
10,10/5/2025,A/R Cash Receipts Entry - 10/5/2025,CR-078730,A/R,86506,,0.00,289.50,"21,685,537.73",
10,10/5/2025,S/O Invoice Entry - 10/5/2025,SO-159987,S/O,REBIL,,0.00,"5,355.62","21,680,182.11",
10,10/5/2025,S/O Invoice Entry - 10/5/2025,SO-160010,S/O,ZZ011,,"44,523.56",0.00,"21,724,705.67",
10,10/5/2025,S/O Invoice Entry - 10/5/2025,SO-160023,S/O,78444,,"52,337.63",0.00,"21,777,043.30",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078609,A/R,86377,,0.00,"1,858,635.13","19,918,408.17",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078610,A/R,86379,,0.00,"91,687.07","19,826,721.10",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078635,A/R,86397,,0.00,661.38,"19,826,059.72",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078636,A/R,86396,,0.00,"485,209.99","19,340,849.73",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078637,A/R,86399,,0.00,"123,193.65","19,217,656.08",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078638,A/R,86400,,0.00,"27,659.98","19,189,996.10",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078639,A/R,86401,,0.00,"1,633.85","19,188,362.25",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078640,A/R,86402,,0.00,"3,233.28","19,185,128.97",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078641,A/R,86403,,0.00,"4,181.90","19,180,947.07",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078642,A/R,86409,,0.00,45.00,"19,180,902.07",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078643,A/R,86404,,0.00,"174,890.18","19,006,011.89",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078644,A/R,86406,,0.00,"783,603.22","18,222,408.67",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078645,A/R,86415,,"24,009.22",0.00,"18,246,417.89",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078646,A/R,86410,,0.00,"248,403.29","17,998,014.60",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078647,A/R,86411,,0.00,"204,933.02","17,793,081.58",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078648,A/R,86412,,0.00,140.13,"17,792,941.45",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078649,A/R,86413,,0.00,"163,393.96","17,629,547.49",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078650,A/R,86416,,0.00,"46,933.77","17,582,613.72",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078651,A/R,86417,,0.00,"2,244.26","17,580,369.46",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078652,A/R,86418,,"4,959.96",0.00,"17,585,329.42",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078653,A/R,86419,,0.00,"1,185,424.10","16,399,905.32",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078655,A/R,86423,,0.00,"199,476.71","16,200,428.61",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078656,A/R,86424,,0.00,"135,024.60","16,065,404.01",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078657,A/R,86425,,0.00,"32,177.72","16,033,226.29",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078658,A/R,86427,,0.00,"1,645.69","16,031,580.60",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078659,A/R,86428,,0.00,"4,642.11","16,026,938.49",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078660,A/R,86429,,0.00,"886,129.24","15,140,809.25",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078662,A/R,86433,,0.00,331.70,"15,140,477.55",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078663,A/R,86434,,0.00,86.98,"15,140,390.57",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078664,A/R,86436,,0.00,84.00,"15,140,306.57",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078666,A/R,86435,,0.00,526.36,"15,139,780.21",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078667,A/R,86438,,0.00,"4,153.53","15,135,626.68",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078668,A/R,86439,,0.00,"1,235.55","15,134,391.13",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078669,A/R,86440,,0.00,460.56,"15,133,930.57",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078670,A/R,86443,,0.00,86.55,"15,133,844.02",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078671,A/R,86444,,0.00,"43,927.30","15,089,916.72",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078676,A/R,86449,,0.00,"5,898.65","15,084,018.07",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078677,A/R,86447,,0.00,"8,645.87","15,075,372.20",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078678,A/R,86421,,0.00,670.47,"15,074,701.73",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078679,A/R,86452,,0.00,218.59,"15,074,483.14",
10,10/6/2025,A/R Cash Receipts Entry - 10/6/2025,CR-078686,A/R,86455,,0.00,"231,196.42","14,843,286.72",
