"CityServiceValcon, LLC (CSV)",,,,,,,,,,,
,,,,,,,,,,,
"Customer/
Invoice
Number",Invoice,Due,unk,Invoice Amount,Discount Amount,Invoice Balance,TransType,TransDate, TransAmount ,"Check
Number/Type","Deposit
Date"
5859795-PP,10/13/2025,10/13/2025,1/0/1900,167.00-,0.00,167.00-,PRE,10/13/2025, (167.00),C5859795,10/13/2025
5859797-PP,10/13/2025,10/13/2025,1/0/1900,"1,208.76-",0.00,"1,208.76-",PRE,10/13/2025," (1,208.76)",C5859797,10/13/2025
5859799-PP,10/13/2025,10/13/2025,1/0/1900,527.84-,0.00,527.84-,PRE,10/13/2025, (527.84),C5859799,10/13/2025
5862271-PP,10/13/2025,10/13/2025,1/0/1900,961.93-,0.00,961.93-,PRE,10/13/2025, (961.93),C5862271,10/13/2025
5862273-PP,10/13/2025,10/13/2025,1/0/1900,848.76-,0.00,848.76-,PRE,10/13/2025, (848.76),C5862273,10/13/2025
5864310-PP,10/14/2025,10/14/2025,1/0/1900,34.00-,0.00,34.00-,PRE,10/14/2025, (34.00),C5864310,10/14/2025
5864312-PP,10/14/2025,10/14/2025,1/0/1900,"1,091.58-",0.00,"1,091.58-",PRE,10/14/2025," (1,091.58)",C5864312,10/14/2025
5864314-PP,10/14/2025,10/14/2025,1/0/1900,275.32-,0.00,275.32-,PRE,10/14/2025, (275.32),C5864314,10/14/2025
5866493-PP,10/15/2025,10/15/2025,1/0/1900,"1,309.76-",0.00,"1,309.76-",PRE,10/15/2025," (1,309.76)",C5866493,10/15/2025
5866495-PP,10/15/2025,10/15/2025,1/0/1900,"1,116.08-",0.00,"1,116.08-",PRE,10/15/2025," (1,116.08)",C5866495,10/15/2025
5866497-PP,10/15/2025,10/15/2025,1/0/1900,"1,171.83-",0.00,"1,171.83-",PRE,10/15/2025," (1,171.83)",C5866497,10/15/2025
5868782-PP,10/16/2025,10/16/2025,1/0/1900,39.34-,0.00,39.34-,PRE,10/16/2025, (39.34),C5868782,10/16/2025
5868784-PP,10/16/2025,10/16/2025,1/0/1900,"1,890.71-",0.00,"1,890.71-",PRE,10/16/2025," (1,890.71)",C5868784,10/16/2025
5868786-PP,10/16/2025,10/16/2025,1/0/1900,429.43-,0.00,429.43-,PRE,10/16/2025, (429.43),C5868786,10/16/2025
5871135-PP,10/17/2025,10/17/2025,1/0/1900,142.53-,0.00,142.53-,PRE,10/17/2025, (142.53),C5871135,10/17/2025
5871137-PP,10/17/2025,10/17/2025,1/0/1900,"1,399.79-",0.00,"1,399.79-",PRE,10/17/2025," (1,399.79)",C5871137,10/17/2025
5871139-PP,10/17/2025,10/17/2025,1/0/1900,"1,323.29-",0.00,"1,323.29-",PRE,10/17/2025," (1,323.29)",C5871139,10/17/2025
5871141-PP,10/17/2025,10/17/2025,1/0/1900,"1,081.90-",0.00,"1,081.90-",PRE,10/17/2025," (1,081.90)",C5871141,10/17/2025
5873522-PP,10/20/2025,10/20/2025,1/0/1900,"1,334.01-",0.00,"1,334.01-",PRE,10/20/2025," (1,334.01)",C5873522,10/20/2025
5873524-PP,10/20/2025,10/20/2025,1/0/1900,23.06-,0.00,23.06-,PRE,10/20/2025, (23.06),C5873524,10/20/2025
Customer 0000006 Totals:,,,,"1,331.89-",0.00,"1,331.89-",,," (1,331.89)",,
0000009 Cash - Kalispell,,,,,,,,,,,
0885433-IN,9/29/2025,10/2/2025,1/0/1900,429.51,0.00,429.51-,PAY,9/25/2025, (429.51),CC092525,9/25/2025
,,,,,,,INV,9/29/2025, 429.51 ,,
,,,,,,,PAY,9/29/2025, (429.51),CCP,9/29/2025
0890706-IN,10/17/2025,10/20/2025,1/0/1900,64.86,0.00,64.86,INV,10/17/2025, 64.86 ,,
Customer 0000009 Totals:,,,,494.37,0.00,364.65-,,, (364.65),,
0000010 Cash - Greenacres,,,,,,,,,,,
0889824-IN,10/17/2025,10/20/2025,1/0/1900,474.24,0.00,474.24,INV,10/17/2025, 474.24 ,,
Customer 0000010 Totals:,,,,474.24,0.00,474.24,,, 474.24 ,,
0000011 Butte CHS Credit Cards,,,,,,,,,,,
0889143-IN,10/9/2025,11/10/2025,1/0/1900,"5,785.93",0.00,"5,785.93",INV,10/9/2025," 5,785.93 ",,
0889554-IN,10/12/2025,11/10/2025,1/0/1900,"5,912.22",0.00,"5,912.22",INV,10/12/2025," 5,912.22 ",,
0890087-IN,10/14/2025,11/10/2025,1/0/1900,"7,044.08",0.00,"7,044.08",INV,10/14/2025," 7,044.08 ",,
0890604-IN,10/16/2025,11/10/2025,1/0/1900,"5,848.95",0.00,"5,848.95",INV,10/16/2025," 5,848.95 ",,
5854540-PP,10/10/2025,10/10/2025,1/0/1900,"2,937.27-",0.00,"2,937.27-",PRE,10/10/2025," (2,937.27)",C5854540,10/10/2025
5857098-PP,10/13/2025,10/13/2025,1/0/1900,"2,847.93-",0.00,"2,847.93-",PRE,10/13/2025," (2,847.93)",C5857098,10/13/2025
5859506-PP,10/13/2025,10/13/2025,1/0/1900,"3,678.41-",0.00,"3,678.41-",PRE,10/13/2025," (3,678.41)",C5859506,10/13/2025
5862048-PP,10/13/2025,10/13/2025,1/0/1900,"1,420.77-",0.00,"1,420.77-",PRE,10/13/2025," (1,420.77)",C5862048,10/13/2025
5864043-PP,10/14/2025,10/14/2025,1/0/1900,813.02-,0.00,813.02-,PRE,10/14/2025, (813.02),C5864043,10/14/2025
5866174-PP,10/15/2025,10/15/2025,1/0/1900,"3,678.72-",0.00,"3,678.72-",PRE,10/15/2025," (3,678.72)",C5866174,10/15/2025
5868487-PP,10/16/2025,10/16/2025,1/0/1900,"3,365.36-",0.00,"3,365.36-",PRE,10/16/2025," (3,365.36)",C5868487,10/16/2025
5870837-PP,10/17/2025,10/17/2025,1/0/1900,"3,111.79-",0.00,"3,111.79-",PRE,10/17/2025," (3,111.79)",C5870837,10/17/2025
5873207-PP,10/20/2025,10/20/2025,1/0/1900,"2,737.14-",0.00,"2,737.14-",PRE,10/20/2025," (2,737.14)",C5873207,10/20/2025
Customer 0000011 Totals:,,,,0.77,0.00,0.77,,, 0.77 ,,
0000013 St. Maries Credit Cards,,,,,,,,,,,
0889153-IN,10/9/2025,11/10/2025,1/0/1900,"6,476.93",0.00,"6,476.93",INV,10/9/2025," 6,476.93 ",,
0889563-IN,10/12/2025,11/10/2025,1/0/1900,"8,396.87",0.00,"8,396.87",INV,10/12/2025," 8,396.87 ",,
0890090-IN,10/14/2025,11/10/2025,1/0/1900,"5,799.14",0.00,"5,799.14",INV,10/14/2025," 5,799.14 ",,
0890614-IN,10/16/2025,11/10/2025,1/0/1900,"6,605.20",0.00,"6,605.20",INV,10/16/2025," 6,605.20 ",,
5854541-PP,10/10/2025,10/10/2025,1/0/1900,"2,923.37-",0.00,"2,923.37-",PRE,10/10/2025," (2,923.37)",C5854541,10/10/2025
5857099-PP,10/13/2025,10/13/2025,1/0/1900,"3,554.26-",0.00,"3,554.26-",PRE,10/13/2025," (3,554.26)",C5857099,10/13/2025
5859507-PP,10/13/2025,10/13/2025,1/0/1900,"3,604.29-",0.00,"3,604.29-",PRE,10/13/2025," (3,604.29)",C5859507,10/13/2025
5862049-PP,10/13/2025,10/13/2025,1/0/1900,"2,443.39-",0.00,"2,443.39-",PRE,10/13/2025," (2,443.39)",C5862049,10/13/2025
5864044-PP,10/14/2025,10/14/2025,1/0/1900,"2,349.11-",0.00,"2,349.11-",PRE,10/14/2025," (2,349.11)",C5864044,10/14/2025
5866175-PP,10/15/2025,10/15/2025,1/0/1900,"2,810.12-",0.00,"2,810.12-",PRE,10/15/2025," (2,810.12)",C5866175,10/15/2025
5868488-PP,10/16/2025,10/16/2025,1/0/1900,"2,989.03-",0.00,"2,989.03-",PRE,10/16/2025," (2,989.03)",C5868488,10/16/2025
5870838-PP,10/17/2025,10/17/2025,1/0/1900,"3,687.84-",0.00,"3,687.84-",PRE,10/17/2025," (3,687.84)",C5870838,10/17/2025
5873208-PP,10/20/2025,10/20/2025,1/0/1900,"2,917.38-",0.00,"2,917.38-",PRE,10/20/2025," (2,917.38)",C5873208,10/20/2025
Customer 0000013 Totals:,,,,0.65-,0.00,0.65-,,, (0.65),,
0000031 Steven & Grace Miller,,,,,,,,,,,
W266194-IN,10/15/2025,11/10/2025,1/0/1900,74.20,0.00,74.20,INV,10/17/2025, 74.20 ,,
Customer 0000031 Totals:,,,,74.20,0.00,74.20,,, 74.20 ,,
0000041 John Coefield,,,,,,,,,,,
0062325-PP,6/23/2025,6/23/2025,1/0/1900,20.00-,0.00,20.00-,PRE,6/23/2025, (20.00),CASH,6/23/2025
Customer 0000041 Totals:,,,,20.00-,0.00,20.00-,,, (20.00),,
"0000046 Istate Truck, Inc.",,,,,,,,,,,
0100125-PP,10/1/2025,10/1/2025,1/0/1900,119.21-,0.00,119.21-,PRE,10/1/2025, (119.21),100125WIRE,10/1/2025
Customer 0000046 Totals:,,,,119.21-,0.00,119.21-,,, (119.21),,
"0000048 Griggs Ferndale, LLC",,,,,,*** Credit Limit Exceeded ***,,,,,
0888230-IN,10/7/2025,10/22/2025,1/0/1900,"30,348.17",0.00,"30,348.17",INV,10/8/2025," 30,348.17 ",,
S345905-IN,10/9/2025,10/24/2025,1/0/1900,197.53,0.00,197.53,INV,10/13/2025, 197.53 ,,
Customer 0000048 Totals:,,,,"30,545.70",0.00,"30,545.70",,," 30,545.70 ",,
0000062 Port of Anacortes - CC*,,,,,,,,,,,
5874073-PP,10/20/2025,10/20/2025,1/0/1900,425.53-,0.00,425.53-,PRE,10/20/2025, (425.53),C5874073,10/20/2025
5874074-PP,10/20/2025,10/20/2025,1/0/1900,9.58,0.00,9.58,PRE,10/20/2025, 9.58 ,F5874074,10/20/2025
Customer 0000062 Totals:,,,,415.95-,0.00,415.95-,,, (415.95),,
0000064 Margaret Payne,,,,,,,,,,,
0002038-PP,12/9/2024,12/9/2024,1/0/1900,26.99-,0.00,26.99-,PRE,12/9/2024, (26.99),2038,12/9/2024
0021125-PP,2/11/2025,2/11/2025,1/0/1900,0.01-,0.00,0.01-,PRE,2/11/2025, (0.01),3341,2/11/2025
Customer 0000064 Totals:,,,,27.00-,0.00,27.00-,,, (27.00),,
"0000070 Robert Wagar, Inc",,,,,,*** On Credit Hold ***,,,,,
APR0001-FC,4/30/2025,4/30/2025,1/0/1900,8.24,0.00,8.24,F/C,4/30/2025, 8.24 ,,
AUG0002-FC,8/31/2025,8/31/2025,1/0/1900,8.24,0.00,8.24,F/C,8/31/2025, 8.24 ,,
FEB0001-FC,2/28/2025,2/28/2025,1/0/1900,16.66,0.00,16.66,F/C,2/28/2025, 16.66 ,,
JAN0001-FC,1/31/2025,1/31/2025,1/0/1900,0.83,0.00,0.83,F/C,1/31/2025, 0.83 ,,
JUL0004-FC,7/31/2025,7/31/2025,1/0/1900,8.24,0.00,8.24,F/C,7/31/2025, 8.24 ,,
JUN0002-FC,6/30/2025,6/30/2025,1/0/1900,10.31,0.00,10.31,F/C,6/30/2025, 10.31 ,,
MAR0002-FC,3/31/2025,3/31/2025,1/0/1900,5.61,0.00,5.61,F/C,3/31/2025, 5.61 ,,
MAY0003-FC,5/31/2025,5/31/2025,1/0/1900,8.24,0.00,8.24,F/C,5/31/2025, 8.24 ,,
S040812-IN,1/24/2025,2/10/2025,1/0/1900,488.02,0.00,118.30,INV,1/28/2025, 488.02 ,,
,,,,,,,PAY,3/21/2025, (369.72),32125APLY2,3/21/2025
S040817-IN,1/24/2025,2/10/2025,1/0/1900,540.54,0.00,540.54,INV,1/28/2025, 540.54 ,,
SEP0001-FC,9/30/2025,9/30/2025,1/0/1900,8.24,0.00,8.24,F/C,9/30/2025, 8.24 ,,
Customer 0000070 Totals:,,,,"1,103.17",0.00,733.45,,, 733.45 ,,
0000073 John J Chadwick,,,,,,,,,,,
0100625-PP,10/6/2025,10/6/2025,1/0/1900,29.00-,0.00,29.00-,PRE,10/6/2025, (29.00),900328650,10/6/2025
Customer 0000073 Totals:,,,,29.00-,0.00,29.00-,,, (29.00),,
0000094 Nathaniel & Mattie Willette,,,,,,*** On Credit Hold ***,,,,,
AUG0003-FC,8/31/2025,8/31/2025,1/0/1900,1.24,0.00,1.24,F/C,8/31/2025, 1.24 ,,
SEP0004-FC,9/30/2025,9/30/2025,1/0/1900,1.24,0.00,1.24,F/C,9/30/2025, 1.24 ,,
W254866-IN,7/16/2025,8/10/2025,1/0/1900,99.00,0.00,99.00,INV,7/18/2025, 99.00 ,,
Customer 0000094 Totals:,,,,101.48,0.00,101.48,,, 101.48 ,,
0000110 John Paul Noyes,,,,,,,,,,,
W262627-IN,9/23/2025,10/10/2025,1/0/1900,129.00,0.00,129.00,INV,9/24/2025, 129.00 ,,
Customer 0000110 Totals:,,,,129.00,0.00,129.00,,, 129.00 ,,
0000113 Linda Bauer,,,,,,,,,,,
W266293-IN,10/15/2025,11/10/2025,1/0/1900,70.00,0.00,70.00,INV,10/17/2025, 70.00 ,,
Customer 0000113 Totals:,,,,70.00,0.00,70.00,,, 70.00 ,,
0000121 Tamarack Brewing Co.,,,,,,*** Credit Limit Exceeded ***,,,,,
S049816-IN,9/18/2025,10/10/2025,1/0/1900,203.91,0.00,203.91,INV,9/18/2025, 203.91 ,,
S050577-IN,10/17/2025,11/10/2025,1/0/1900,239.55,0.00,239.55,INV,10/17/2025, 239.55 ,,
S342720-IN,9/4/2025,10/10/2025,1/0/1900,882.43,0.00,882.43,INV,9/5/2025, 882.43 ,,
S343428-IN,9/11/2025,10/10/2025,1/0/1900,"1,040.58",0.00,"1,040.58",INV,9/12/2025," 1,040.58 ",,
S343795-IN,9/16/2025,10/10/2025,1/0/1900,558.95,0.00,558.95,INV,9/17/2025, 558.95 ,,
S344338-IN,9/23/2025,10/10/2025,1/0/1900,755.01,0.00,755.01,INV,9/26/2025, 755.01 ,,
S344790-IN,9/30/2025,10/10/2025,1/0/1900,839.84,0.00,839.84,INV,9/30/2025, 839.84 ,,
S345423-IN,10/6/2025,11/10/2025,1/0/1900,803.27,0.00,803.27,INV,10/8/2025, 803.27 ,,
S346151-IN,10/16/2025,11/10/2025,1/0/1900,678.06,0.00,678.06,INV,10/16/2025, 678.06 ,,
Customer 0000121 Totals:,,,,"6,001.60",0.00,"6,001.60",,," 6,001.60 ",,
0000123 Cabinet Mountain Brewing Co.,,,,,,,,,,,
S346362-IN,10/15/2025,11/10/2025,1/0/1900,318.26,0.00,318.26,INV,10/16/2025, 318.26 ,,
Customer 0000123 Totals:,,,,318.26,0.00,318.26,,, 318.26 ,,
0000143 Michael Glain,,,,,,,,,,,
W262628-IN,9/23/2025,10/10/2025,1/0/1900,99.00,0.00,99.00,INV,9/24/2025, 99.00 ,,
Customer 0000143 Totals:,,,,99.00,0.00,99.00,,, 99.00 ,,
0000146 Kathy Romain,,,,,,,,,,,
PB92625-PP,9/26/2025,9/26/2025,1/0/1900,975.00-,0.00,975.00-,PRE,9/26/2025, (975.00),,9/26/2025
Customer 0000146 Totals:,,,,975.00-,0.00,975.00-,,, (975.00),,
"0000149 Griggs Ferndale, LLC - CC*",,,,,,,,,,,
5873198-PP,10/20/2025,10/20/2025,1/0/1900,"1,523.57-",0.00,"1,523.57-",PRE,10/20/2025," (1,523.57)",C5873198,10/20/2025
5873199-PP,10/20/2025,10/20/2025,1/0/1900,"2,967.72-",0.00,"2,967.72-",PRE,10/20/2025," (2,967.72)",C5873199,10/20/2025
5873200-PP,10/20/2025,10/20/2025,1/0/1900,"2,971.48-",0.00,"2,971.48-",PRE,10/20/2025," (2,971.48)",C5873200,10/20/2025
Customer 0000149 Totals:,,,,"7,462.77-",0.00,"7,462.77-",,," (7,462.77)",,
0000155 Russ & Keri Geldrich dba,,,,,,,,,,,
0889704-IN,10/16/2025,11/10/2025,1/0/1900,346.08,0.00,346.08,INV,10/16/2025, 346.08 ,,
Customer 0000155 Totals:,,,,346.08,0.00,346.08,,, 346.08 ,,
0000167 Laura Bethke,,,,,,*** On Credit Hold ***,,,,,
0862962-IN,6/23/2025,7/10/2025,1/0/1900,254.40,0.00,254.40,INV,6/23/2025, 254.40 ,,
AUG0004-FC,8/31/2025,8/31/2025,1/0/1900,3.82,0.00,3.82,F/C,8/31/2025, 3.82 ,,
JUL0006-FC,7/31/2025,7/31/2025,1/0/1900,3.82,0.00,3.82,F/C,7/31/2025, 3.82 ,,
S071558-IN,9/11/2025,10/10/2025,1/0/1900,245.18,0.00,245.18,INV,9/11/2025, 245.18 ,,
SEP0005-FC,9/30/2025,9/30/2025,1/0/1900,3.82,0.00,3.82,F/C,9/30/2025, 3.82 ,,
Customer 0000167 Totals:,,,,511.04,0.00,511.04,,, 511.04 ,,
"0000175 Alcam, Inc.",,,,,,*** On Credit Hold ***,,,,,
0857967-IN,6/12/2025,7/10/2025,1/0/1900,49.14,0.00,49.14,INV,6/12/2025, 49.14 ,,
0885311-IN,10/14/2025,11/10/2025,1/0/1900,49.14,0.00,49.14,INV,10/14/2025, 49.14 ,,
AUG0005-FC,8/31/2025,8/31/2025,1/0/1900,0.74,0.00,0.74,F/C,8/31/2025, 0.74 ,,
JUN0004-FC,6/30/2025,6/30/2025,1/0/1900,19.69,0.00,19.69,F/C,6/30/2025, 19.69 ,,
SEP0006-FC,9/30/2025,9/30/2025,1/0/1900,0.74,0.00,0.74,F/C,9/30/2025, 0.74 ,,
Customer 0000175 Totals:,,,,119.45,0.00,119.45,,, 119.45 ,,
0000179 Dennis Marrs,,,,,,*** On Credit Hold ***,,,,,
APR0005-FC,4/30/2025,4/30/2025,1/0/1900,0.75,0.00,0.75,F/C,4/30/2025, 0.75 ,,
AUG0006-FC,8/31/2025,8/31/2025,1/0/1900,6.99,0.00,6.99,F/C,8/31/2025, 6.99 ,,
JUL0008-FC,7/31/2025,7/31/2025,1/0/1900,5.87,0.00,5.87,F/C,7/31/2025, 5.87 ,,
JUN0005-FC,6/30/2025,6/30/2025,1/0/1900,5.87,0.00,5.87,F/C,6/30/2025, 5.87 ,,
MAY0005-FC,5/31/2025,5/31/2025,1/0/1900,5.87,0.00,5.87,F/C,5/31/2025, 5.87 ,,
S327006-IN,4/3/2025,5/10/2025,1/0/1900,535.57,0.00,291.57,INV,4/3/2025, 535.57 ,,
,,,,,,,PAY,5/29/2025, (144.00),052925APLY,5/29/2025
,,,,,,,PAY,9/29/2025, (100.00),CCP,9/29/2025
SEP0007-FC,9/30/2025,9/30/2025,1/0/1900,5.49,0.00,5.49,F/C,9/30/2025, 5.49 ,,
W254394-IN,7/14/2025,8/10/2025,1/0/1900,74.20,0.00,74.20,INV,7/14/2025, 74.20 ,,
Customer 0000179 Totals:,,,,640.61,0.00,396.61,,, 396.61 ,,
0000182 Daryl & Connie Gaudin,,,,,,,,,,,
S036588-IN,9/16/2025,10/10/2025,1/0/1900,312.48,0.00,312.48,INV,9/17/2025, 312.48 ,,
Customer 0000182 Totals:,,,,312.48,0.00,312.48,,, 312.48 ,,
"0000186 Glacier Park, Inc.",,,,,,,,,,,
0888995-IN,10/9/2025,11/10/2025,1/0/1900,650.86,0.00,650.86,INV,10/9/2025, 650.86 ,,
JUL0009-FC,7/31/2025,7/31/2025,1/0/1900,28.16,0.00,28.16,F/C,7/31/2025, 28.16 ,,
JUN0006-FC,6/30/2025,6/30/2025,1/0/1900,48.97,0.00,48.97,F/C,6/30/2025, 48.97 ,,
MAY0007-FC,5/31/2025,5/31/2025,1/0/1900,4.67,0.00,4.67,F/C,5/31/2025, 4.67 ,,
S344934-IN,9/30/2025,10/10/2025,1/0/1900,318.32,0.00,318.32,INV,9/30/2025, 318.32 ,,
S345671-IN,10/7/2025,11/10/2025,1/0/1900,300.30,0.00,300.30,INV,10/9/2025, 300.30 ,,
SEP0008-FC,9/30/2025,9/30/2025,1/0/1900,5.74,0.00,5.74,F/C,9/30/2025, 5.74 ,,
W261189-IN,9/12/2025,10/10/2025,1/0/1900,60.00,0.00,60.00,INV,9/12/2025, 60.00 ,,
W261197-IN,9/12/2025,10/10/2025,1/0/1900,120.00,0.00,120.00,INV,9/12/2025, 120.00 ,,
Customer 0000186 Totals:,,,,"1,537.02",0.00,"1,537.02",,," 1,537.02 ",,
0000197 Julie Baldridge,,,,,,,,,,,
PB0924-PP,9/27/2024,9/27/2024,1/0/1900,"5,103.00-",0.00,142.60-,PRE,9/27/2024," (5,103.00)",VC09.27,9/27/2024
,,,,,,,PAY,12/11/2024, 862.03 ,APPLY1224,12/11/2024
,,,,,,,PAY,1/14/2025, 972.78 ,APPLY0125,1/14/2025
,,,,,,,PAY,2/18/2025," 1,576.82 ",APPLY02.25,2/18/2025
,,,,,,,PAY,3/21/2025, 540.92 ,APPLY03.25,3/21/2025
,,,,,,,PAY,4/10/2025, 484.03 ,APPLY04.25,4/10/2025
,,,,,,,PAY,5/6/2025, 523.82 ,APPLY05.25,5/6/2025
Customer 0000197 Totals:,,,,"5,103.00-",0.00,142.60-,,, (142.60),,
0000210 Amanda & Ben Adams,,,,,,,,,,,
S344408-IN,9/24/2025,10/10/2025,1/0/1900,477.57,0.00,477.57,INV,9/26/2025, 477.57 ,,
W262700-IN,9/23/2025,10/10/2025,1/0/1900,89.00,0.00,89.00,INV,9/24/2025, 89.00 ,,
Customer 0000210 Totals:,,,,566.57,0.00,566.57,,, 566.57 ,,
0000215 Rick D Wood,,,,,,,,,,,
0883432-IN,9/18/2025,10/10/2025,1/0/1900,207.29,0.00,207.29,INV,9/18/2025, 207.29 ,,
