Invoice,InvoiceDate,Due,Amount
5874192-PP,10/20/2025,10/20/2025,-636.42
5874193-PP,10/20/2025,10/20/2025,12.39
5874194-PP,10/20/2025,10/20/2025,-697.31
5874195-PP,10/20/2025,10/20/2025,12.94
5874196-PP,10/20/2025,10/20/2025,-980.15
5874197-PP,10/20/2025,10/20/2025,14.49
5874198-PP,10/20/2025,10/20/2025,-920.81
5874199-PP,10/20/2025,10/20/2025,14.73
5874200-PP,10/20/2025,10/20/2025,-1031.88
5874201-PP,10/20/2025,10/20/2025,17.58
5874322-PP,10/20/2025,10/20/2025,-24.99
5874323-PP,10/20/2025,10/20/2025,0.09
5874324-PP,10/20/2025,10/20/2025,-690.44
5874325-PP,10/20/2025,10/20/2025,13.74
5874326-PP,10/20/2025,10/20/2025,-527.37
5874327-PP,10/20/2025,10/20/2025,11.59
5874328-PP,10/20/2025,10/20/2025,-703.33
5874329-PP,10/20/2025,10/20/2025,14.42
5874330-PP,10/20/2025,10/20/2025,-755.97
5874331-PP,10/20/2025,10/20/2025,13.48
5874332-PP,10/20/2025,10/20/2025,-12.05
5874333-PP,10/20/2025,10/20/2025,0.37
5874334-PP,10/20/2025,10/20/2025,-703.24
5874335-PP,10/20/2025,10/20/2025,14.47
5872994-PP,10/20/2025,10/20/2025,-190.1
5872995-PP,10/20/2025,10/20/2025,5.06
5872996-PP,10/20/2025,10/20/2025,-263.96
5872997-PP,10/20/2025,10/20/2025,6.22
5872998-PP,10/20/2025,10/20/2025,-2345.68
5872999-PP,10/20/2025,10/20/2025,51.81
5873000-PP,10/20/2025,10/20/2025,-4923.21
5873001-PP,10/20/2025,10/20/2025,101.27
5873002-PP,10/20/2025,10/20/2025,-1998.06
5873003-PP,10/20/2025,10/20/2025,39.95
S345948-IN,10/16/2025,11/10/2025,835.4
5873791-PP,10/20/2025,10/20/2025,-2095.5
5873792-PP,10/20/2025,10/20/2025,16.77
S071954-IN,10/16/2025,11/10/2025,309.16
5874746-PP,10/20/2025,10/20/2025,-286.29
5874747-PP,10/20/2025,10/20/2025,6.44
5874748-PP,10/20/2025,10/20/2025,-273.24
5874749-PP,10/20/2025,10/20/2025,6.15
5873754-PP,10/20/2025,10/20/2025,-1562.49
5873755-PP,10/20/2025,10/20/2025,29.47
5873756-PP,10/20/2025,10/20/2025,-1887.07
5873757-PP,10/20/2025,10/20/2025,33.8
5873758-PP,10/20/2025,10/20/2025,-1557.13
5873759-PP,10/20/2025,10/20/2025,29.55
5873760-PP,10/20/2025,10/20/2025,-1808.49
5873761-PP,10/20/2025,10/20/2025,34.5
5873762-PP,10/20/2025,10/20/2025,-1617.57
5873763-PP,10/20/2025,10/20/2025,30.93
5873764-PP,10/20/2025,10/20/2025,-1711.62
5873765-PP,10/20/2025,10/20/2025,31.27
5873766-PP,10/20/2025,10/20/2025,-1314.73
5873767-PP,10/20/2025,10/20/2025,25
5873768-PP,10/20/2025,10/20/2025,-1724.6
5873769-PP,10/20/2025,10/20/2025,26.32
5873770-PP,10/20/2025,10/20/2025,-1929.63
5873771-PP,10/20/2025,10/20/2025,35.09
5873772-PP,10/20/2025,10/20/2025,-691.13
5873773-PP,10/20/2025,10/20/2025,12.59
5873774-PP,10/20/2025,10/20/2025,-460.74
5873775-PP,10/20/2025,10/20/2025,-7.09
0890116-IN,10/16/2025,11/30/2025,777.88
0890531-IN,10/17/2025,11/10/2025,689.86
S346534-IN,10/16/2025,11/10/2025,108.35
S071943-IN,10/16/2025,11/10/2025,364.99
0890172-IN,10/16/2025,11/15/2025,2213.78
0890174-IN,10/16/2025,11/10/2025,2686.06
5875183-PP,10/20/2025,10/20/2025,-1162.51
5875184-PP,10/20/2025,10/20/2025,19.41
5875185-PP,10/20/2025,10/20/2025,-898.47
5875186-PP,10/20/2025,10/20/2025,16.62
5875187-PP,10/20/2025,10/20/2025,-60.49
5875188-PP,10/20/2025,10/20/2025,-2.1
S346541-IN,10/16/2025,11/10/2025,454.9
0890175-IN,10/16/2025,11/10/2025,4449.11
0890173-IN,10/16/2025,11/10/2025,4364.73
5874079-PP,10/20/2025,10/20/2025,-1815.73
5874080-PP,10/20/2025,10/20/2025,30.84
5874081-PP,10/20/2025,10/20/2025,-1645.16
5874082-PP,10/20/2025,10/20/2025,27.89
5874083-PP,10/20/2025,10/20/2025,-1642.37
5874084-PP,10/20/2025,10/20/2025,29.7
5874085-PP,10/20/2025,10/20/2025,-31.62
5874086-PP,10/20/2025,10/20/2025,0.31
5874087-PP,10/20/2025,10/20/2025,-158.2
5874088-PP,10/20/2025,10/20/2025,-10.5
0890014-IN,10/16/2025,11/10/2025,1339.65
0890020-IN,10/16/2025,11/10/2025,774.02
5870503-PP,10/16/2025,10/16/2025,-1393.31
5870504-PP,10/16/2025,10/16/2025,19.81
5870505-PP,10/16/2025,10/16/2025,-1626.83
5870506-PP,10/16/2025,10/16/2025,27.89
5870507-PP,10/16/2025,10/16/2025,-232.01
5870508-PP,10/16/2025,10/16/2025,4.57
5870509-PP,10/16/2025,10/16/2025,-1336.38
5870510-PP,10/16/2025,10/16/2025,23.27
5872858-PP,10/17/2025,10/17/2025,-1100.84
5872859-PP,10/17/2025,10/17/2025,18.88
5872860-PP,10/17/2025,10/17/2025,-1505.32
5872861-PP,10/17/2025,10/17/2025,27.74
5872862-PP,10/17/2025,10/17/2025,-83.85
5872863-PP,10/17/2025,10/17/2025,0.64
5872864-PP,10/17/2025,10/17/2025,-1373.59
5872865-PP,10/17/2025,10/17/2025,27.04
5875397-PP,10/20/2025,10/20/2025,-153.87
5875398-PP,10/20/2025,10/20/2025,-2.49
5875399-PP,10/20/2025,10/20/2025,-84.9
5875400-PP,10/20/2025,10/20/2025,0.62
5875401-PP,10/20/2025,10/20/2025,-1580.02
5875402-PP,10/20/2025,10/20/2025,34.43
5875403-PP,10/20/2025,10/20/2025,-1580.32
5875404-PP,10/20/2025,10/20/2025,21.84
5875405-PP,10/20/2025,10/20/2025,-696.98
5875406-PP,10/20/2025,10/20/2025,12.63
W266827-IN,10/16/2025,11/10/2025,7647.91
0889765-IN,10/16/2025,11/10/2025,92.64
0889883-IN,10/16/2025,11/10/2025,22.31
0890141-IN,10/16/2025,11/10/2025,335.91
S346431-IN,10/16/2025,11/10/2025,360.18
W266676-IN,10/16/2025,11/10/2025,12090
5869308-PP,10/16/2025,10/16/2025,-1363.99
5869309-PP,10/16/2025,10/16/2025,26.44
5869310-PP,10/16/2025,10/16/2025,-983.98
5869311-PP,10/16/2025,10/16/2025,16.96
5869312-PP,10/16/2025,10/16/2025,-1137.63
5869313-PP,10/16/2025,10/16/2025,20.38
5869314-PP,10/16/2025,10/16/2025,-838.96
5869315-PP,10/16/2025,10/16/2025,14.29
5869316-PP,10/16/2025,10/16/2025,-970.23
5869317-PP,10/16/2025,10/16/2025,17.85
5869318-PP,10/16/2025,10/16/2025,-983
5869319-PP,10/16/2025,10/16/2025,18.02
5869320-PP,10/16/2025,10/16/2025,-766.33
5869321-PP,10/16/2025,10/16/2025,14.4
5869322-PP,10/16/2025,10/16/2025,-846.95
5869323-PP,10/16/2025,10/16/2025,18.33
5869324-PP,10/16/2025,10/16/2025,-1167.47
5869325-PP,10/16/2025,10/16/2025,19.86
5869326-PP,10/16/2025,10/16/2025,-773.04
5869327-PP,10/16/2025,10/16/2025,16.16
5869328-PP,10/16/2025,10/16/2025,-875.9
5869329-PP,10/16/2025,10/16/2025,16.91
5869330-PP,10/16/2025,10/16/2025,-202.9
5869331-PP,10/16/2025,10/16/2025,4.51
5869332-PP,10/16/2025,10/16/2025,-701.37
5869333-PP,10/16/2025,10/16/2025,13.62
5869334-PP,10/16/2025,10/16/2025,-797.41
5869335-PP,10/16/2025,10/16/2025,15.12
5869336-PP,10/16/2025,10/16/2025,-77.56
5869337-PP,10/16/2025,10/16/2025,-1.08
5871642-PP,10/17/2025,10/17/2025,-867.7
5871643-PP,10/17/2025,10/17/2025,16.81
5871644-PP,10/17/2025,10/17/2025,-1111.61
5871645-PP,10/17/2025,10/17/2025,18.62
5871646-PP,10/17/2025,10/17/2025,-1153.05
5871647-PP,10/17/2025,10/17/2025,22.32
5871648-PP,10/17/2025,10/17/2025,-1151.94
5871649-PP,10/17/2025,10/17/2025,22.55
5871650-PP,10/17/2025,10/17/2025,-693.97
5871651-PP,10/17/2025,10/17/2025,13.3
5871652-PP,10/17/2025,10/17/2025,-860.81
5871653-PP,10/17/2025,10/17/2025,15.52
5871654-PP,10/17/2025,10/17/2025,-829.96
5871655-PP,10/17/2025,10/17/2025,15.56
5871656-PP,10/17/2025,10/17/2025,-793.36
5871657-PP,10/17/2025,10/17/2025,14.73
5871658-PP,10/17/2025,10/17/2025,-925.15
5871659-PP,10/17/2025,10/17/2025,14.89
5871660-PP,10/17/2025,10/17/2025,-869.65
5871661-PP,10/17/2025,10/17/2025,19.44
5871662-PP,10/17/2025,10/17/2025,-905.58
5871663-PP,10/17/2025,10/17/2025,17.93
5871664-PP,10/17/2025,10/17/2025,-791.35
5871665-PP,10/17/2025,10/17/2025,13.87
5871666-PP,10/17/2025,10/17/2025,-271.27
5871667-PP,10/17/2025,10/17/2025,4.88
5871668-PP,10/17/2025,10/17/2025,-699.76
5871669-PP,10/17/2025,10/17/2025,14.68
5871670-PP,10/17/2025,10/17/2025,-872.12
5871671-PP,10/17/2025,10/17/2025,17.33
5871672-PP,10/17/2025,10/17/2025,-779.97
5871673-PP,10/17/2025,10/17/2025,14.84
5874089-PP,10/20/2025,10/20/2025,-874.07
5874090-PP,10/20/2025,10/20/2025,16.53
5874091-PP,10/20/2025,10/20/2025,-856.22
5874092-PP,10/20/2025,10/20/2025,15.06
5874093-PP,10/20/2025,10/20/2025,-774.04
5874094-PP,10/20/2025,10/20/2025,14.14
5874095-PP,10/20/2025,10/20/2025,-973.33
5874096-PP,10/20/2025,10/20/2025,17.68
5874097-PP,10/20/2025,10/20/2025,-968.64
5874098-PP,10/20/2025,10/20/2025,17.56
5874099-PP,10/20/2025,10/20/2025,-1029.32
5874100-PP,10/20/2025,10/20/2025,18.51
5874101-PP,10/20/2025,10/20/2025,-1133.08
5874102-PP,10/20/2025,10/20/2025,20.55
5874103-PP,10/20/2025,10/20/2025,-1124.39
5874104-PP,10/20/2025,10/20/2025,20.25
5874105-PP,10/20/2025,10/20/2025,-829.14
5874106-PP,10/20/2025,10/20/2025,15.65
5874107-PP,10/20/2025,10/20/2025,-1747.18
5874108-PP,10/20/2025,10/20/2025,30.07
5874109-PP,10/20/2025,10/20/2025,-913.72
5874110-PP,10/20/2025,10/20/2025,17.34
5874111-PP,10/20/2025,10/20/2025,-996.31
5874112-PP,10/20/2025,10/20/2025,16.4
5874113-PP,10/20/2025,10/20/2025,-804.55
5874114-PP,10/20/2025,10/20/2025,15.52
5874115-PP,10/20/2025,10/20/2025,-324.06
5874116-PP,10/20/2025,10/20/2025,4.85
5874117-PP,10/20/2025,10/20/2025,-906.56
5874118-PP,10/20/2025,10/20/2025,16.98
5874119-PP,10/20/2025,10/20/2025,-831.41
5874120-PP,10/20/2025,10/20/2025,15.74
5874121-PP,10/20/2025,10/20/2025,-59.95
5874122-PP,10/20/2025,10/20/2025,0.6
5874542-PP,10/20/2025,10/20/2025,-793
0889740-IN,10/16/2025,11/10/2025,153.25
CL49327-IN,10/16/2025,11/10/2025,107.07
0888970-IN,10/20/2025,11/9/2025,304.5
5873787-PP,10/20/2025,10/20/2025,-35.7
5873788-PP,10/20/2025,10/20/2025,0.98
5874506-PP,10/20/2025,10/20/2025,-788.54
5874507-PP,10/20/2025,10/20/2025,13.05
5874508-PP,10/20/2025,10/20/2025,-910.91
5874509-PP,10/20/2025,10/20/2025,17.3
5874510-PP,10/20/2025,10/20/2025,-982.17
5874511-PP,10/20/2025,10/20/2025,16.46
5874512-PP,10/20/2025,10/20/2025,-945.09
5874513-PP,10/20/2025,10/20/2025,17.09
5874514-PP,10/20/2025,10/20/2025,-1031.84
5874515-PP,10/20/2025,10/20/2025,18.61
5874516-PP,10/20/2025,10/20/2025,-1867.45
5874517-PP,10/20/2025,10/20/2025,30.19
5874518-PP,10/20/2025,10/20/2025,-806.35
5874519-PP,10/20/2025,10/20/2025,15.33
5874520-PP,10/20/2025,10/20/2025,-864.04
5874521-PP,10/20/2025,10/20/2025,15.75
5874522-PP,10/20/2025,10/20/2025,-2143.28
5874523-PP,10/20/2025,10/20/2025,35.67
5874524-PP,10/20/2025,10/20/2025,-959.53
5874525-PP,10/20/2025,10/20/2025,17.82
5874526-PP,10/20/2025,10/20/2025,-986.84
5874527-PP,10/20/2025,10/20/2025,16.11
5874528-PP,10/20/2025,10/20/2025,-968.34
5874529-PP,10/20/2025,10/20/2025,15.67
5874530-PP,10/20/2025,10/20/2025,-834.97
5874531-PP,10/20/2025,10/20/2025,15.38
5874532-PP,10/20/2025,10/20/2025,-226.33
5874533-PP,10/20/2025,10/20/2025,5.14
5874534-PP,10/20/2025,10/20/2025,-724.16
5874535-PP,10/20/2025,10/20/2025,13.65
5874536-PP,10/20/2025,10/20/2025,-778.67
5874537-PP,10/20/2025,10/20/2025,13.64
5874538-PP,10/20/2025,10/20/2025,-29.38
5874539-PP,10/20/2025,10/20/2025,-0.59
5874540-PP,10/20/2025,10/20/2025,-183.16
5874541-PP,10/20/2025,10/20/2025,-3.06
5874595-PP,10/20/2025,10/20/2025,-1083.55
5874596-PP,10/20/2025,10/20/2025,27.58
S050578-IN,10/16/2025,10/16/2025,458.15
0886969-IN,10/20/2025,11/20/2025,59.15
0890123-IN,10/20/2025,11/20/2025,224.77
S071940-IN,10/16/2025,11/10/2025,486.65
CL49356-IN,10/16/2025,11/10/2025,648.21
5874593-PP,10/20/2025,10/20/2025,-627.77
5874594-PP,10/20/2025,10/20/2025,17.34
5869713-PP,10/16/2025,10/16/2025,-990.25
5869714-PP,10/16/2025,10/16/2025,17.72
5869715-PP,10/16/2025,10/16/2025,-1026.31
5869716-PP,10/16/2025,10/16/2025,21.07
5869717-PP,10/16/2025,10/16/2025,-971.51
5869718-PP,10/16/2025,10/16/2025,17.56
5869719-PP,10/16/2025,10/16/2025,-1119.68
5869720-PP,10/16/2025,10/16/2025,23.5
5869721-PP,10/16/2025,10/16/2025,-1122.6
5869722-PP,10/16/2025,10/16/2025,20.02
5869723-PP,10/16/2025,10/16/2025,-695.99
5869724-PP,10/16/2025,10/16/2025,13.7
5872064-PP,10/17/2025,10/17/2025,-1062.83
5872065-PP,10/17/2025,10/17/2025,19.23
5872066-PP,10/17/2025,10/17/2025,-796.07
5872067-PP,10/17/2025,10/17/2025,15.92
5872068-PP,10/17/2025,10/17/2025,-937.88
5872069-PP,10/17/2025,10/17/2025,18.71
5872070-PP,10/17/2025,10/17/2025,-1094.54
5872071-PP,10/17/2025,10/17/2025,20.57
5872072-PP,10/17/2025,10/17/2025,-930.96
5872073-PP,10/17/2025,10/17/2025,19.72
5872074-PP,10/17/2025,10/17/2025,-992.03
5872075-PP,10/17/2025,10/17/2025,19.08
5874543-PP,10/20/2025,10/20/2025,-840.52
5874544-PP,10/20/2025,10/20/2025,17.9
5874545-PP,10/20/2025,10/20/2025,-953.99
5874546-PP,10/20/2025,10/20/2025,17.32
5874547-PP,10/20/2025,10/20/2025,-997.46
5874548-PP,10/20/2025,10/20/2025,19.9
5874549-PP,10/20/2025,10/20/2025,-1182.88
5874550-PP,10/20/2025,10/20/2025,21.66
5874551-PP,10/20/2025,10/20/2025,-1139.02
5874552-PP,10/20/2025,10/20/2025,21.36
5874553-PP,10/20/2025,10/20/2025,-895.78
5874554-PP,10/20/2025,10/20/2025,16.81
5874555-PP,10/20/2025,10/20/2025,-473.22
5874556-PP,10/20/2025,10/20/2025,8.48
5874557-PP,10/20/2025,10/20/2025,-938.31
5874558-PP,10/20/2025,10/20/2025,18.43
CL49328-IN,10/16/2025,11/10/2025,116.21
0888756-IN,10/16/2025,11/10/2025,474.86
S071959-IN,10/16/2025,10/26/2025,152.51
5871028-PP,10/17/2025,10/17/2025,-167.69
5871029-PP,10/17/2025,10/17/2025,1.94
5873408-PP,10/20/2025,10/20/2025,-300.67
5873409-PP,10/20/2025,10/20/2025,5.57
5873410-PP,10/20/2025,10/20/2025,-331.2
5873411-PP,10/20/2025,10/20/2025,5.93
S036674-IN,10/16/2025,10/19/2025,162.8
0889503-IN,10/16/2025,10/21/2025,129.29
CL49357-IN,10/16/2025,10/22/2025,8608.51
S036675-IN,10/16/2025,11/10/2025,194.22
0888754-PP,10/16/2025,10/16/2025,-520.48
0890000-IN,10/16/2025,11/10/2025,228.42
5873813-PP,10/20/2025,10/20/2025,-401.68
5873814-PP,10/20/2025,10/20/2025,11.05
5875010-PP,10/20/2025,10/20/2025,-608.18
5875011-PP,10/20/2025,10/20/2025,12.61
5875012-PP,10/20/2025,10/20/2025,-998.89
5875013-PP,10/20/2025,10/20/2025,20.06
5875014-PP,10/20/2025,10/20/2025,-848.55
5875015-PP,10/20/2025,10/20/2025,16.07
5875016-PP,10/20/2025,10/20/2025,-1016.51
5875017-PP,10/20/2025,10/20/2025,17.84
5875018-PP,10/20/2025,10/20/2025,-920.07
5875019-PP,10/20/2025,10/20/2025,16.8
5875020-PP,10/20/2025,10/20/2025,-995.55
5875021-PP,10/20/2025,10/20/2025,19.95
5875022-PP,10/20/2025,10/20/2025,-968.65
5875023-PP,10/20/2025,10/20/2025,18.82
5875024-PP,10/20/2025,10/20/2025,-680.6
5875025-PP,10/20/2025,10/20/2025,15.13
5875026-PP,10/20/2025,10/20/2025,-757.69
5875027-PP,10/20/2025,10/20/2025,14.95
5875028-PP,10/20/2025,10/20/2025,-442.72
5875029-PP,10/20/2025,10/20/2025,11.22
5875030-PP,10/20/2025,10/20/2025,-651.94
5875031-PP,10/20/2025,10/20/2025,14.12
5874708-PP,10/20/2025,10/20/2025,-45.71
5874709-PP,10/20/2025,10/20/2025,1.03
5871101-PP,10/17/2025,10/17/2025,-941.18
5871102-PP,10/17/2025,10/17/2025,15.33
5871103-PP,10/17/2025,10/17/2025,-902.8
5871104-PP,10/17/2025,10/17/2025,17.58
5871105-PP,10/17/2025,10/17/2025,-777.73
5871106-PP,10/17/2025,10/17/2025,15.16
5871107-PP,10/17/2025,10/17/2025,-676.2
5871108-PP,10/17/2025,10/17/2025,13.08
5871109-PP,10/17/2025,10/17/2025,-933.28
5871110-PP,10/17/2025,10/17/2025,13.46
5871111-PP,10/17/2025,10/17/2025,-1071.86
5871112-PP,10/17/2025,10/17/2025,16.88
5871113-PP,10/17/2025,10/17/2025,-821.66
5871114-PP,10/17/2025,10/17/2025,13.64
5871115-PP,10/17/2025,10/17/2025,-215.71
5871116-PP,10/17/2025,10/17/2025,4.07
5871117-PP,10/17/2025,10/17/2025,-691.6
5871118-PP,10/17/2025,10/17/2025,12.4
5871119-PP,10/17/2025,10/17/2025,-14.45
5871120-PP,10/17/2025,10/17/2025,-0.95
5873486-PP,10/20/2025,10/20/2025,-780.06
5873487-PP,10/20/2025,10/20/2025,14.67
5873488-PP,10/20/2025,10/20/2025,-892.54
5873489-PP,10/20/2025,10/20/2025,13.72
5873490-PP,10/20/2025,10/20/2025,-989.95
5873491-PP,10/20/2025,10/20/2025,13.55
5873492-PP,10/20/2025,10/20/2025,-962.97
5873493-PP,10/20/2025,10/20/2025,15.44
5873494-PP,10/20/2025,10/20/2025,-903.74
5873495-PP,10/20/2025,10/20/2025,14.06
5873496-PP,10/20/2025,10/20/2025,-1156.65
5873497-PP,10/20/2025,10/20/2025,17.46
5873498-PP,10/20/2025,10/20/2025,-1175.5
5873499-PP,10/20/2025,10/20/2025,18.26
5873500-PP,10/20/2025,10/20/2025,-10.67
5873501-PP,10/20/2025,10/20/2025,0.22
5873502-PP,10/20/2025,10/20/2025,-715.72
5873503-PP,10/20/2025,10/20/2025,11.57
5873504-PP,10/20/2025,10/20/2025,-813.35
5873505-PP,10/20/2025,10/20/2025,13.95
S346632-IN,10/16/2025,11/10/2025,104.16
0889812-IN,10/20/2025,11/10/2025,950
5870341-PP,10/16/2025,10/16/2025,-917.1
5870342-PP,10/16/2025,10/16/2025,17.58
5870343-PP,10/16/2025,10/16/2025,-828.03
5870344-PP,10/16/2025,10/16/2025,17.19
5870345-PP,10/16/2025,10/16/2025,-857.4
5870346-PP,10/16/2025,10/16/2025,17.18
5870347-PP,10/16/2025,10/16/2025,-772.38
5870348-PP,10/16/2025,10/16/2025,16.6
5870349-PP,10/16/2025,10/16/2025,-64.8
5870350-PP,10/16/2025,10/16/2025,1.35
5870351-PP,10/16/2025,10/16/2025,-202.36
5870352-PP,10/16/2025,10/16/2025,5.21
5870353-PP,10/16/2025,10/16/2025,-694.19
5870354-PP,10/16/2025,10/16/2025,14.78
5872708-PP,10/17/2025,10/17/2025,-722.46
5872709-PP,10/17/2025,10/17/2025,14.99
5872710-PP,10/17/2025,10/17/2025,-764.75
5872711-PP,10/17/2025,10/17/2025,16.54
5872712-PP,10/17/2025,10/17/2025,-769.17
5872713-PP,10/17/2025,10/17/2025,17.99
5872714-PP,10/17/2025,10/17/2025,-955.3
5872715-PP,10/17/2025,10/17/2025,17.5
5872716-PP,10/17/2025,10/17/2025,-39.24
5872717-PP,10/17/2025,10/17/2025,0.87
5872718-PP,10/17/2025,10/17/2025,-813.86
5872719-PP,10/17/2025,10/17/2025,15.79
5872720-PP,10/17/2025,10/17/2025,-680.92
5872721-PP,10/17/2025,10/17/2025,15.15
5875241-PP,10/20/2025,10/20/2025,-717.28
5875242-PP,10/20/2025,10/20/2025,15.13
5875243-PP,10/20/2025,10/20/2025,-714.56
5875244-PP,10/20/2025,10/20/2025,16.37
5875245-PP,10/20/2025,10/20/2025,-922.17
5875246-PP,10/20/2025,10/20/2025,18.97
5875247-PP,10/20/2025,10/20/2025,-837.34
5875248-PP,10/20/2025,10/20/2025,17.07
5875249-PP,10/20/2025,10/20/2025,-886.53
5875250-PP,10/20/2025,10/20/2025,17.12
5875251-PP,10/20/2025,10/20/2025,-502.88
5875252-PP,10/20/2025,10/20/2025,12.3
5875253-PP,10/20/2025,10/20/2025,-813.92
5875254-PP,10/20/2025,10/20/2025,16.6
CL49330-IN,10/16/2025,11/10/2025,106.8
CL49331-IN,10/16/2025,11/5/2025,50.86
S050570-IN,10/16/2025,11/10/2025,418.51
5874712-PP,10/20/2025,10/20/2025,-307.74
5874713-PP,10/20/2025,10/20/2025,6.92
5874714-PP,10/20/2025,10/20/2025,-2146.72
5874715-PP,10/20/2025,10/20/2025,50.98
W266728-IN,10/16/2025,11/10/2025,1128.01
0890533-IN,10/16/2025,10/26/2025,21536.72
5873232-PP,10/20/2025,10/20/2025,-6214.8
5873233-PP,10/20/2025,10/20/2025,140.47
5873238-PP,10/20/2025,10/20/2025,-6165.59
5873239-PP,10/20/2025,10/20/2025,129.5
5873240-PP,10/20/2025,10/20/2025,-4993.76
5873241-PP,10/20/2025,10/20/2025,107.53
5873242-PP,10/20/2025,10/20/2025,-2880.36
5873243-PP,10/20/2025,10/20/2025,64.92
